Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Spending Level,Discount %,Discount Amount,Final Amount,High Value Customer,Loyal Customer,Age Group
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,Medium,10,4.8,43.2,No,No,31-45
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,Low,10,3.1,27.9,No,No,46-60
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,High,10,7.9,71.1,No,Yes,31-45
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,Medium,10,6.7,60.3,No,Yes,31-45
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,Low,10,3.8,34.2,No,Yes,46-60
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,High,10,9.1,81.9,Yes,Yes,31-45
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,Low,10,3.3,29.7,No,Yes,46-60
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,Medium,10,6.9,62.1,No,Yes,31-45
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,Medium,10,4.5,40.5,No,No,31-45
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,Low,10,3.7,33.3,No,Yes,18-30
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,Medium,10,6.0,54.0,No,No,61-70
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,High,10,7.6,68.4,No,Yes,61-70
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,Low,10,3.9,35.1,No,Yes,61-70
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,High,10,10.0,90.0,Yes,No,18-30
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,Medium,10,6.9,62.1,No,No,18-30
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,Medium,10,5.3,47.7,No,Yes,31-45
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,Low,10,2.1,18.9,No,Yes,46-60
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,Medium,10,4.3,38.7,No,Yes,46-60
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,Medium,10,5.4,48.6,No,Yes,46-60
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,Medium,10,5.5,49.5,No,Yes,31-45
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,Low,10,3.0,27.0,No,Yes,61-70
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,Low,10,2.8,25.2,No,Yes,46-60
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,Medium,10,5.9,53.1,No,No,46-60
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,Low,10,2.0,18.0,No,Yes,31-45
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,Low,10,2.4,21.6,No,Yes,18-30
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,High,10,9.4,84.6,Yes,Yes,46-60
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,Low,10,2.8,25.2,No,Yes,31-45
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,High,10,7.3,65.7,No,Yes,31-45
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,Medium,10,6.4,57.6,No,No,18-30
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,Medium,10,5.4,48.6,No,Yes,61-70
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,High,10,7.9,71.1,No,No,61-70
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,Low,10,3.7,33.3,No,No,46-60
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,Medium,10,6.8,61.2,No,No,46-60
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,Low,10,2.1,18.9,No,Yes,18-30
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,High,10,7.9,71.1,No,Yes,31-45
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,High,10,8.3,74.7,Yes,No,61-70
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,Low,10,3.6,32.4,No,Yes,61-70
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,High,10,9.4,84.6,Yes,No,31-45
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,Low,10,3.3,29.7,No,Yes,31-45
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,Medium,10,4.6,41.4,No,No,46-60
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,Medium,10,7.0,63.0,No,No,46-60
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,Low,10,2.9,26.1,No,Yes,18-30
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,Medium,10,4.8,43.2,No,Yes,31-45
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,Low,10,2.6,23.4,No,No,
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,High,10,8.5,76.5,Yes,Yes,46-60
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,Medium,10,5.8,52.2,No,No,46-60
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,High,10,8.5,76.5,Yes,No,61-70
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,Medium,10,4.3,38.7,No,Yes,46-60
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,Medium,10,5.3,47.7,No,Yes,18-30
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,High,10,9.1,81.9,Yes,Yes,46-60
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,High,10,9.6,86.4,Yes,Yes,31-45
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,High,10,7.2,64.8,No,No,18-30
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,High,10,9.6,86.4,Yes,Yes,61-70
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,Low,10,2.8,25.2,No,No,18-30
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,Low,10,4.0,36.0,No,Yes,31-45
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,Low,10,3.2,28.8,No,Yes,46-60
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,High,10,9.5,85.5,Yes,No,46-60
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,Medium,10,4.1,36.9,No,Yes,18-30
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,Medium,10,5.3,47.7,No,Yes,46-60
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,Medium,10,4.7,42.3,No,Yes,31-45
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,High,10,8.3,74.7,Yes,No,46-60
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,Medium,10,4.8,43.2,No,Yes,18-30
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,High,10,9.9,89.1,Yes,No,31-45
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,High,10,8.7,78.3,Yes,No,61-70
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,Medium,10,6.2,55.8,No,Yes,31-45
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,High,10,7.6,68.4,No,Yes,46-60
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,High,10,10.0,90.0,Yes,Yes,31-45
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,High,10,7.3,65.7,No,Yes,31-45
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,High,10,9.2,82.8,Yes,Yes,18-30
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,Medium,10,6.7,60.3,No,No,18-30
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,Low,10,4.0,36.0,No,Yes,18-30
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,High,10,9.8,88.2,Yes,Yes,61-70
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,High,10,8.5,76.5,Yes,Yes,18-30
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,Medium,10,6.7,60.3,No,Yes,46-60
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,High,10,8.9,80.1,Yes,No,46-60
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,Low,10,2.4,21.6,No,No,46-60
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,High,10,9.6,86.4,Yes,No,61-70
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,Low,10,3.5,31.5,No,Yes,61-70
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,Medium,10,6.7,60.3,No,Yes,18-30
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,High,10,7.9,71.1,No,Yes,61-70
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,High,10,8.5,76.5,Yes,Yes,46-60
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,Low,10,2.6,23.4,No,Yes,46-60
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,High,10,7.5,67.5,No,No,18-30
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,Medium,10,6.5,58.5,No,Yes,31-45
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,Medium,10,5.4,48.6,No,No,31-45
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,High,10,9.5,85.5,Yes,No,61-70
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,High,10,9.4,84.6,Yes,Yes,46-60
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,High,10,8.6,77.4,Yes,No,46-60
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,Low,10,3.2,28.8,No,Yes,46-60
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,Medium,10,4.5,40.5,No,Yes,46-60
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,High,10,7.6,68.4,No,Yes,31-45
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,High,10,8.4,75.6,Yes,Yes,61-70
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,High,10,7.2,64.8,No,No,18-30
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,Low,10,4.0,36.0,No,Yes,31-45
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly,High,10,8.9,80.1,Yes,Yes,46-60
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually,High,10,8.6,77.4,Yes,Yes,31-45
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,Medium,10,5.4,48.6,No,Yes,46-60
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,Low,10,3.6,32.4,No,Yes,31-45
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,High,10,8.9,80.1,Yes,Yes,18-30
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly,Low,10,3.2,28.8,No,No,18-30
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,Medium,10,6.7,60.3,No,Yes,18-30
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,Low,10,3.9,35.1,No,No,31-45
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,Low,10,2.9,26.1,No,Yes,18-30
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,Medium,10,5.8,52.2,No,Yes,18-30
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually,Medium,10,6.5,58.5,No,Yes,46-60
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly,High,10,9.4,84.6,Yes,Yes,31-45
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly,High,10,8.1,72.9,Yes,No,31-45
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,High,10,8.6,77.4,Yes,No,31-45
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly,Medium,10,4.3,38.7,No,Yes,61-70
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,Low,10,2.9,26.1,No,Yes,61-70
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually,High,10,9.5,85.5,Yes,Yes,46-60
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,Low,10,2.8,25.2,No,Yes,61-70
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,Medium,10,4.6,41.4,No,Yes,46-60
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,Medium,10,5.8,52.2,No,Yes,31-45
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly,Medium,10,4.8,43.2,No,Yes,18-30
145,19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly,Medium,10,4.3,38.7,No,Yes,18-30
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly,High,10,9.5,85.5,Yes,Yes,18-30
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly,Low,10,3.0,27.0,No,No,46-60
